base structure 1, no replacement, CC(C1=[N+]2C(C([P+](C3=CC=CC=C3)([Fe-3]24)C5=CC=CC=C5)=CC=C6)=C6C=C1)=[N+]4C7=CC=CC=C7
base structure 3, sub group 5, Nc:1:c:c(:c:c:c1)[P+]1(c:2:c:c(N):c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 3, sub group 6, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(SC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(SC):c:c:c1
base structure 3, sub group 7, Sc:1:c:c(:c:c:c1)[P+]1(c:2:c:c(S):c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 3, sub group 8, [PH3]c:1:c:c(:c:c:c1)[P+]1(c:2:c:c([PH3]):c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 3, sub group 9, [O][N](=O)c:1:c:c(:c:c:c1)[P+]1(c:2:c:c([N](=O)[O]):c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 3, sub group 10, [O][S](=O)([O])c:1:c:c(:c:c:c1)[P+]1(c:2:c:c([S](=O)([O])[O]):c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 3, sub group 11, [F]C([F])([F])c:1:c:c(:c:c:c1)[P+]1(c:2:c:c(C([F])([F])[F]):c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 3, sub group 12, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(c:4:c:c:c:c:c4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(c:2:c:c:c:c:c2):c:c:c1
base structure 3, sub group 13, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(Cc:4:c:c:c:c:c4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(Cc:2:c:c:c:c:c2):c:c:c1
base structure 3, sub group 14, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(C(c:4:c:c:c:c:c4)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(C(c:2:c:c:c:c:c2)C):c:c:c1
base structure 3, sub group 15, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(CCc:4:c:c:c:c:c4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(CCc:2:c:c:c:c:c2):c:c:c1
base structure 3, sub group 16, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(C(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(C(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c:c:c1
base structure 3, sub group 17, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(CC(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(CC(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c:c:c1
base structure 3, sub group 18, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(C(C(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(C(C(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c:c:c1
base structure 3, sub group 19, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(C4CCCCC4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(C2CCCCC2):c:c:c1
base structure 3, sub group 20, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(CC4CCCCC4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(CC2CCCCC2):c:c:c1
base structure 3, sub group 21, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(C(C4CCCCC4)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(C(C2CCCCC2)C):c:c:c1
base structure 3, sub group 22, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(CCC4CCCCC4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(CCC2CCCCC2):c:c:c1
base structure 3, sub group 23, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(C(C4CCCCC4)C4CCCCC4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(C(C2CCCCC2)C2CCCCC2):c:c:c1
base structure 3, sub group 24, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(CC(C4CCCCC4)C4CCCCC4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(CC(C2CCCCC2)C2CCCCC2):c:c:c1
base structure 3, sub group 25, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(C(C(C4CCCCC4)C4CCCCC4)C4CCCCC4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(C(C(C2CCCCC2)C2CCCCC2)C2CCCCC2):c:c:c1
base structure 3, sub group 26, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(C):c:c:c1
base structure 3, sub group 27, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(CC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(CC):c:c:c1
base structure 3, sub group 28, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(C(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(C(C)C):c:c:c1
base structure 3, sub group 29, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(CCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(CCC):c:c:c1
base structure 3, sub group 30, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(CCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(CCCC):c:c:c1
base structure 3, sub group 31, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(CC(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(CC(C)C):c:c:c1
base structure 3, sub group 32, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(C(C)(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(C(C)(C)C):c:c:c1
base structure 3, sub group 33, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(CCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(CCCCC):c:c:c1
base structure 3, sub group 34, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(C(C(C)C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(C(C(C)C)C):c:c:c1
base structure 3, sub group 35, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(CCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(CCCCCC):c:c:c1
base structure 3, sub group 36, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c:c(C(C(CC)C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c(C(C(CC)C)C):c:c:c1
